RANDOM FOREST
DataTrain length:  3428
DataTest length:  988
Accuracy:  0.97975708502

Report:

             precision    recall  f1-score   support

        pos       0.96      0.97      0.96       163
        neg       1.00      0.97      0.98       316
        neu       0.98      0.99      0.98       509

avg / total       0.98      0.98      0.98       988


Confusion Matrix:

[[158   0   5]
 [  4 305   7]
 [  3   1 505]]

Predictions:
1 - apple should make siri avalible for all devices not exclusive to the iphone s  ->  neu
2 - hell yes got my contacts back thanks apple  ->  pos
3 - this reader button for safari is perfect for fic apple ios stevejobsday  ->  neu
4 - at apple hq  ->  neu
5 - kostatsetsekas apple putting it in the wash is kind of the equivalent to will it blend glad to hear it s still alive  ->  pos
6 - stay young stay foolish but take ownership when u f ck up don t complain and never give up resilience apple  ->  neu
7 - if u need me just text me o wait u i wont get it cuz apple fucks me every time fuckingpissed  ->  neg
8 - apple if you want to know what customers think dont send updates with the noreply return address who invented that anyway useless  ->  neg
9 - dear apple you must let me turn off icloud to save bandwidth and not delete every document on my ipad that s bullshit  ->  neg
10 - win an apple ipod touch from mommy gaga get the pampers hello world baby memories app http t co madmqpc pampershelloapps  ->  neu
11 - apple internode icloud ios piracy omg no wonder ive used all my downloads  ->  neu
12 - win an apple ipod touch from mommy gaga get the pampers hello world baby memories app http t co i woujuh pampershelloapps  ->  neu
13 - apple please bring back the old siri app for us old school iphone users  ->  neu
14 - incredible million iphone ss in days better than the iphone http t co fmjxtmm apple iphone s  ->  pos
15 - apple iphone s arrival on tuesday iphone s  ->  pos
16 - what do we have to do to get flash on ipad apple please please please change your mind thank you in advance kusi sk peternemcok  ->  neu
17 - dear apple please invent facetime voicemails sincerely haendel balzora jr apple  ->  neu
18 - rt apple no question bro rt ainteeentrippin should i get dis iphone or a evo d  ->  neu
19 - attcustomercare att apple i already have an iphone with an att contract can i buy a factory unlocked iphone s with my contract  ->  neu
20 - yo apple this update is a disaster  ->  neg
21 - apple why my tunes no go on my iphone iphone lonely without them silly ios  ->  neg
22 - apple karaoke ceel w nandamaulida putriasmara galuhoktriana milatus p  ->  neu
23 - good article about why apple fucked it all up with lion and their future http t co zndp vr fb  ->  neg
24 - apple by far the best ipod and first time iphone ever good job guys  ->  pos
25 - apple and nintendo need to partner up for the app store  ->  neu
26 - steve jobs biopic coming soon apple apple stevejobs http t co dxzba bg  ->  neu
27 - just registered as an apple developer here s hoping i can actually do it any help greatly appreciated  ->  pos
28 - apple no location reminders on ipad that was the point of updating to ios  ->  neg
29 - apple can suck my dick gotta restore my ipad annoyed  ->  neg
30 - bkad than apologize to apple  ->  pos
31 - lmfao look at the argument i had with siri ijustine apple http t co d vjl si  ->  pos
32 - sprint bestbuy still no word on my iphone s preorder best buy blames sprint sprint blames apple i just want an honest answer help  ->  neg
33 - just downloaded ios it s better than i expected thankyou apple  ->  pos
34 - coatgal had a really interestng experience up in the apple store though paul was with me up there faulty iphone but out of warranty  ->  neu
35 - rygurl you need an apple iphone s with siri  ->  neu
36 - win an apple ipod touch from mommy gaga get the pampers hello world baby memories app http t co eylm pav pampershelloapps  ->  neu
37 - breakingnews gizmodo reports apple iphone s sold over million over the weekend truestory http t co bej s a  ->  neu
38 - wtf apple pages for the new terms conditions when u update ur apps from the itunes store do u really think we ll read em really  ->  neg
39 - apple cu  ->  neg
40 - not happy with apple right now the upgrade to my itouch took out my itouch and laptop help  ->  neg
41 - siri keeps trying to send me to escort services is that legal apple  ->  neu
42 - dear apple if i make love to icloud will all the things have my babies  ->  neu
