Classifier: Naive Bayes
Mode: Quaternário
GridSearch: False
RFE: False
PCA: False
Used files for training: full-corpus.csv;full_training_dataset.csv;twitter-sanders-apple2.csv;
Used files for testing: irrelevantTest.csv;twitter-sanders-apple3.csv;
DataTrain length: 27066
DataTest length: 1073

-----PREDCTION INFO-----
Accuracy: 0.756756756757

Report:
             precision    recall  f1-score   support

        pos       0.73      0.80      0.77       163
        neg       0.63      0.98      0.77       316
        neu       0.92      0.68      0.78       509
        irr       0.93      0.32      0.47        85

avg / total       0.81      0.76      0.75      1073

Confusion Matrix:
[[131  20  12   0]
 [  3 310   3   0]
 [ 29 134 344   2]
 [ 16  28  14  27]]

261 Wrong Predictions:
0 - [Correct: irr ; Predicted: neu] cenaze nedeniyle kapal y z apple http t co j l kk
1 - [Correct: irr ; Predicted: neg] dancing bear apple store lincoln center http t co xbmjupmq
2 - [Correct: irr ; Predicted: pos] iphone apple ne jp
3 - [Correct: irr ; Predicted: neg] sail phoenix next stop after quimera rock apple house
4 - [Correct: irr ; Predicted: neu] chill lol rt apple rt styl standin what is imessage
5 - [Correct: irr ; Predicted: pos] lennydubz you do know that apple is not the company and why u blasting me on twitter
6 - [Correct: irr ; Predicted: neu] y sigue sin avisarme cuando me mencionan en twitter pidounparche actualizenlaapp apple steve jobs mugrero
7 - [Correct: irr ; Predicted: neu] wat een belachelijke prijzen kpn prijzen iphone s duiken op http t co ep kzupb via iphoneclub kpn iphone apple
8 - [Correct: irr ; Predicted: neu] fullscreen berall nur der appstore hat keine option daf r warum apple
9 - [Correct: irr ; Predicted: neg] love how rogersbiz tell u they re not allowed to sell the s for more than apple but yet want more for the g
10 - [Correct: irr ; Predicted: neg] apple bees w deejay tinyt
11 - [Correct: irr ; Predicted: neu] complimenti sinceri ad apple per ios va benissimo su iphone e ipad
12 - [Correct: irr ; Predicted: neg] rt supaluga rt modalnho new mov apple store starring ichiro repeat pattern moda http t co u a ivk
13 - [Correct: irr ; Predicted: pos] imightbewrong apple inthequeencity teamapple
14 - [Correct: irr ; Predicted: neg] rt modalnho new mov apple store starring ichiro repeat pattern moda http t co u a ivk
15 - [Correct: irr ; Predicted: neu] cc apple http t co tnodvs
16 - [Correct: irr ; Predicted: neg] moda modalnho apple store starring ichiro repeat pattern coffee shops moda http t co zbi rz s
17 - [Correct: irr ; Predicted: neg] so ya my itunes is in japanese
18 - [Correct: irr ; Predicted: neg] rt leahjanell this moment w shyah dianigroves is brought to you by nba apple riesling oh and http t co dp xids
19 - [Correct: irr ; Predicted: neg] this moment w shyah dianigroves is brought to you by nba apple riesling oh and http t co tmq jru
20 - [Correct: irr ; Predicted: neg] partner with apple i d pay for anibulb washingtonpost would you pay for this lightbulb http t co zgfsehao
21 - [Correct: irr ; Predicted: neg] chefreggie rolandsmartin apple get ready tampa bay the martin s are coming to town bring it on buccaneers
22 - [Correct: irr ; Predicted: pos] heidiknyc apple badog cute dinner when ur back from shanghai xx
23 - [Correct: irr ; Predicted: neg] apple dette blir for dumt http t co zqkmkq
24 - [Correct: irr ; Predicted: pos] teach different iteach therefore iam http t co yozd hcx apple teachforus teachforamerica ipad stevejobs
25 - [Correct: irr ; Predicted: neg] quiero migrar apple
26 - [Correct: irr ; Predicted: pos] apple pratet om en versjon av ipod touch til barn de ombestemte seg da tittelen n rmet seg itouch kids
27 - [Correct: irr ; Predicted: neg] oja ik ben gelijk al mijn apps kwijt bedankt apple
28 - [Correct: irr ; Predicted: neg] deal schn ppchen update ipad ipad generation general berholt ab apple http t co xdtdzurd
29 - [Correct: irr ; Predicted: pos] charence ramos apple jane heimacho tintin julielmo new followers na follow back ko na po kayo
30 - [Correct: irr ; Predicted: neu] ipad ipad generation general berholt ab apple der tablet von apple bleibt weiterhin recht preisstab http t co h anhavu
31 - [Correct: irr ; Predicted: pos] kan apple de tekstaanvulling op iphone en ipad niet omdraaien eigenteksteerst weetapplehetaltijdbeter
32 - [Correct: irr ; Predicted: neg] ipad ipad generation general berholt ab apple http t co tov xkq
33 - [Correct: irr ; Predicted: pos] hazi apple com
34 - [Correct: irr ; Predicted: neu] o piratasdainformatica s n o disse se o bill gates tbm dono da apple
35 - [Correct: irr ; Predicted: neu] n apple vai trabalhar no iphone
36 - [Correct: irr ; Predicted: neg] i guess i should go hublot apple and zegnaofficial shopping next week birthdays only come once a year lol
37 - [Correct: irr ; Predicted: neg] assistindo o filme chapa piratas da inform tica esse filme e foda viva apple
38 - [Correct: irr ; Predicted: neu] iphone apple store g
39 - [Correct: irr ; Predicted: neg] new arrivals and percent off clearance of matching g http t co qqcwyl b lds scriptures apple e book
40 - [Correct: irr ; Predicted: neg] today very cheap for patio furniture san anton http t co sd i bjm plastic apple bags
41 - [Correct: irr ; Predicted: neg] causando na loja da apple
42 - [Correct: irr ; Predicted: neu] fico manso os pre os desses iphones absurdos r assim n o d f a apple s se eu fizesse programa na beira mar
43 - [Correct: irr ; Predicted: pos] find more the best angel christmas tree o http t co d g ry d starfrit apple peeler
44 - [Correct: irr ; Predicted: pos] find more the best maytag washer control board deal check pric http t co sndkag e best apple peeler
45 - [Correct: irr ; Predicted: pos] find more the best cyst on knee deal check price of best cyst on knee and offers now http t co qzynnuvi automatic apple
46 - [Correct: irr ; Predicted: neg] do not check other site for uhmw conveyor now you go best site of uhmw conveyor http t co rmv d q pin cable apple
47 - [Correct: irr ; Predicted: neu] do not check other site for ed hardy black long sl http t co hengqgqp unlocked apple touch phones
48 - [Correct: irr ; Predicted: neg] rt thbenkoe hey apple dass man selektiv keine einzelnen fotos peinliche berfl ssige etc aus dem fotostream l schen kann ist do
49 - [Correct: irr ; Predicted: neg] esperaba mas de ios apple
50 - [Correct: irr ; Predicted: pos] hello you are find mesh jacket motorcycle our site have more mesh http t co tyg ualc ace hardware apple pee
51 - [Correct: irr ; Predicted: pos] to reiniciando meu computador as id ia apple
52 - [Correct: irr ; Predicted: neg] chriswglowe apple gadgetlab you can tell me tonight cracking open the vodka tonight if you fancy
53 - [Correct: irr ; Predicted: neg] buy more products of hemp jewelry instructions now free ship http t co bps t lehmans apple peeler
54 - [Correct: irr ; Predicted: neu] rogriffo vc viu ontem a apple estava dando iphone no site dos estados unidos
55 - [Correct: irr ; Predicted: pos] today very cheap for hemp for fuel and free shipping for hemp for fuel too http t co gyjlbmw farberware apple peeler
56 - [Correct: irr ; Predicted: neg] discount hemp knots today cheap price too save money for best hemp knots http t co h joplq avanti apple peeler
57 - [Correct: irr ; Predicted: pos] today very cheap for icemaker and free shipping for icemaker too http t co clkwaio french apple peeler
58 - [Correct: pos ; Predicted: neu] apple will be adding more carrier support to the iphone s just announced
59 - [Correct: pos ; Predicted: neg] i just realized that the reason i got into twitter was ios thanks apple
