Classifier: Naive Bayes
Mode: Quaternário
GridSearch: True
RFE: False
PCA: False
Used files for training: full-corpus.csv;full_training_dataset.csv;twitter-sanders-apple2.csv;
Used files for testing: irrelevantTest.csv;twitter-sanders-apple3.csv;
DataTrain length: 27066
DataTest length: 1073

-----PREDCTION INFO-----
Accuracy: 0.939422180801

Report:
             precision    recall  f1-score   support

        pos       0.91      0.96      0.93       163
        neg       0.93      0.98      0.95       316
        neu       0.95      0.99      0.97       509
        irr       1.00      0.45      0.62        85

avg / total       0.94      0.94      0.93      1073

Confusion Matrix:
[[156   0   7   0]
 [  0 311   5   0]
 [  0   6 503   0]
 [ 15  19  13  38]]

65 Wrong Predictions:
0 - [Correct: irr ; Predicted: neu] cenaze nedeniyle kapal y z apple http t co j l kk
1 - [Correct: irr ; Predicted: pos] dancing bear apple store lincoln center http t co xbmjupmq
2 - [Correct: irr ; Predicted: pos] iphone apple ne jp
3 - [Correct: irr ; Predicted: neg] sail phoenix next stop after quimera rock apple house
4 - [Correct: irr ; Predicted: neu] chill lol rt apple rt styl standin what is imessage
5 - [Correct: irr ; Predicted: neu] lennydubz you do know that apple is not the company and why u blasting me on twitter
6 - [Correct: irr ; Predicted: neu] wat een belachelijke prijzen kpn prijzen iphone s duiken op http t co ep kzupb via iphoneclub kpn iphone apple
7 - [Correct: irr ; Predicted: neu] fullscreen berall nur der appstore hat keine option daf r warum apple
8 - [Correct: irr ; Predicted: neg] love how rogersbiz tell u they re not allowed to sell the s for more than apple but yet want more for the g
9 - [Correct: irr ; Predicted: pos] apple bees w deejay tinyt
10 - [Correct: irr ; Predicted: neu] complimenti sinceri ad apple per ios va benissimo su iphone e ipad
11 - [Correct: irr ; Predicted: neg] rt supaluga rt modalnho new mov apple store starring ichiro repeat pattern moda http t co u a ivk
12 - [Correct: irr ; Predicted: pos] imightbewrong apple inthequeencity teamapple
13 - [Correct: irr ; Predicted: neg] rt modalnho new mov apple store starring ichiro repeat pattern moda http t co u a ivk
14 - [Correct: irr ; Predicted: neu] cc apple http t co tnodvs
15 - [Correct: irr ; Predicted: neg] moda modalnho apple store starring ichiro repeat pattern coffee shops moda http t co zbi rz s
16 - [Correct: irr ; Predicted: neg] so ya my itunes is in japanese
17 - [Correct: irr ; Predicted: neg] rt leahjanell this moment w shyah dianigroves is brought to you by nba apple riesling oh and http t co dp xids
18 - [Correct: irr ; Predicted: neg] this moment w shyah dianigroves is brought to you by nba apple riesling oh and http t co tmq jru
19 - [Correct: irr ; Predicted: neg] partner with apple i d pay for anibulb washingtonpost would you pay for this lightbulb http t co zgfsehao
20 - [Correct: irr ; Predicted: neg] chefreggie rolandsmartin apple get ready tampa bay the martin s are coming to town bring it on buccaneers
21 - [Correct: irr ; Predicted: pos] heidiknyc apple badog cute dinner when ur back from shanghai xx
22 - [Correct: irr ; Predicted: neu] apple dette blir for dumt http t co zqkmkq
23 - [Correct: irr ; Predicted: pos] teach different iteach therefore iam http t co yozd hcx apple teachforus teachforamerica ipad stevejobs
24 - [Correct: irr ; Predicted: neg] deal schn ppchen update ipad ipad generation general berholt ab apple http t co xdtdzurd
25 - [Correct: irr ; Predicted: pos] charence ramos apple jane heimacho tintin julielmo new followers na follow back ko na po kayo
26 - [Correct: irr ; Predicted: neu] ipad ipad generation general berholt ab apple der tablet von apple bleibt weiterhin recht preisstab http t co h anhavu
27 - [Correct: irr ; Predicted: neg] ipad ipad generation general berholt ab apple http t co tov xkq
28 - [Correct: irr ; Predicted: neu] hazi apple com
29 - [Correct: irr ; Predicted: pos] n apple vai trabalhar no iphone
