Classifier: SVM
Mode: Quaternário
GridSearch: False
RFE: False
PCA: True
Used files for training: full-corpus.csv;full_training_dataset.csv;twitter-sanders-apple2.csv;
Used files for testing: irrelevantTest.csv;twitter-sanders-apple3.csv;
DataTrain length: 27066
DataTest length: 1073

-----PREDCTION INFO-----
Accuracy: 0.709226467847

Report:
             precision    recall  f1-score   support

        pos       0.58      0.56      0.57       163
        neg       0.69      0.78      0.73       316
        neu       0.75      0.76      0.76       509
        irr       0.94      0.40      0.56        85

avg / total       0.72      0.71      0.70      1073

Confusion Matrix:
[[ 92  17  54   0]
 [ 23 246  47   0]
 [ 35  83 389   2]
 [  9  12  30  34]]

312 Wrong Predictions:
0 - [Correct: irr ; Predicted: neu] cenaze nedeniyle kapal y z apple http t co j l kk
1 - [Correct: irr ; Predicted: neu] dancing bear apple store lincoln center http t co xbmjupmq
2 - [Correct: irr ; Predicted: neu] iphone apple ne jp
3 - [Correct: irr ; Predicted: neu] sail phoenix next stop after quimera rock apple house
4 - [Correct: irr ; Predicted: neu] chill lol rt apple rt styl standin what is imessage
5 - [Correct: irr ; Predicted: neu] lennydubz you do know that apple is not the company and why u blasting me on twitter
6 - [Correct: irr ; Predicted: neu] y sigue sin avisarme cuando me mencionan en twitter pidounparche actualizenlaapp apple steve jobs mugrero
7 - [Correct: irr ; Predicted: neg] kan samsung och apple sluta sl ss om kunderna i r ttssalen och med v rldens b sta produkter ist llet s blir det mycket b ttre
8 - [Correct: irr ; Predicted: neu] wat een belachelijke prijzen kpn prijzen iphone s duiken op http t co ep kzupb via iphoneclub kpn iphone apple
9 - [Correct: irr ; Predicted: neg] fullscreen berall nur der appstore hat keine option daf r warum apple
10 - [Correct: irr ; Predicted: neu] love how rogersbiz tell u they re not allowed to sell the s for more than apple but yet want more for the g
11 - [Correct: irr ; Predicted: neu] apple bees w deejay tinyt
12 - [Correct: irr ; Predicted: neg] complimenti sinceri ad apple per ios va benissimo su iphone e ipad
13 - [Correct: irr ; Predicted: neu] rt supaluga rt modalnho new mov apple store starring ichiro repeat pattern moda http t co u a ivk
14 - [Correct: irr ; Predicted: neu] imightbewrong apple inthequeencity teamapple
15 - [Correct: irr ; Predicted: neu] rt modalnho new mov apple store starring ichiro repeat pattern moda http t co u a ivk
16 - [Correct: irr ; Predicted: neu] cc apple http t co tnodvs
17 - [Correct: irr ; Predicted: pos] moda modalnho apple store starring ichiro repeat pattern coffee shops moda http t co zbi rz s
18 - [Correct: irr ; Predicted: neg] so ya my itunes is in japanese
19 - [Correct: irr ; Predicted: neu] rt leahjanell this moment w shyah dianigroves is brought to you by nba apple riesling oh and http t co dp xids
20 - [Correct: irr ; Predicted: neg] this moment w shyah dianigroves is brought to you by nba apple riesling oh and http t co tmq jru
21 - [Correct: irr ; Predicted: neu] partner with apple i d pay for anibulb washingtonpost would you pay for this lightbulb http t co zgfsehao
22 - [Correct: irr ; Predicted: pos] chefreggie rolandsmartin apple get ready tampa bay the martin s are coming to town bring it on buccaneers
23 - [Correct: irr ; Predicted: pos] heidiknyc apple badog cute dinner when ur back from shanghai xx
24 - [Correct: irr ; Predicted: neu] apple dette blir for dumt http t co zqkmkq
25 - [Correct: irr ; Predicted: neu] teach different iteach therefore iam http t co yozd hcx apple teachforus teachforamerica ipad stevejobs
26 - [Correct: irr ; Predicted: neu] quiero migrar apple
27 - [Correct: irr ; Predicted: neg] deal schn ppchen update ipad ipad generation general berholt ab apple http t co xdtdzurd
28 - [Correct: irr ; Predicted: neu] charence ramos apple jane heimacho tintin julielmo new followers na follow back ko na po kayo
29 - [Correct: irr ; Predicted: neu] ipad ipad generation general berholt ab apple der tablet von apple bleibt weiterhin recht preisstab http t co h anhavu
30 - [Correct: irr ; Predicted: neg] ipad ipad generation general berholt ab apple http t co tov xkq
31 - [Correct: irr ; Predicted: neu] hazi apple com
32 - [Correct: irr ; Predicted: neu] n apple vai trabalhar no iphone
